Feature,target X,target Y,target Z,average
Feature 1,0.3943302798792817,0.43485369229604776,0.23066860911619524,0.35328419376384157
Feature 2,0.15669597993142914,0.09957260048827854,0.721586886508987,0.3259518223095649
Feature 3,0.06094117825574552,0.7015962209553932,0.9260148383811987,0.5628507458641124
Feature 4,0.7004344616675229,0.9601401478973864,0.8307976092350886,0.830457406266666
Feature 5,0.1348848621108999,0.07128987542304799,0.39916929704126736,0.20178134485840507
Feature 6,0.7800548750682585,0.9066486234150783,0.8253010729629059,0.8373348571487477
Feature 7,0.5223864678164621,0.8324274588075191,0.1675930154160684,0.5074689806800166
Feature 8,0.5270616623723807,0.3288573849657559,0.2661192944949353,0.374012780611024
Feature 9,0.6137827699482796,0.5627017396442752,0.8603800604615304,0.6789548566846951
Feature 10,0.6789202778016485,0.4041938951158116,0.33959425296818024,0.4742361419618801
Feature 11,0.7369694059227851,0.8676857727209841,0.3916287639624847,0.6654279808687513
Feature 12,0.22004820970951222,0.038274584697346015,0.07436326469721088,0.11089535303468971
Feature 13,0.6732634799853288,0.6600475750986675,0.5061005017836974,0.6131371856225645
Feature 14,0.9983512807562545,0.03849429019553163,0.48330343505832407,0.5067163353367033
Feature 15,0.8423141220417701,0.5210274681848407,0.9862500101930763,0.7831972001398957
Feature 16,0.34878708662462077,0.3449986022857794,0.8649772245864392,0.5195876378322798
Feature 17,0.11882091784430793,0.6523044573955046,0.457826932677029,0.4096507693056138
Feature 18,0.5619032313058859,0.60971572072708,0.35877409257679826,0.5101310148699213
Feature 19,0.5855385692404573,0.5188226058598806,0.9336827119332164,0.6793479623445181
