Feature,target X,target Y,target Z,average
Feature 1,0.9534727244448755,0.5800858352051402,0.14345968690929378,0.5590060821864365
Feature 2,0.6573652931193377,0.38391792852319184,0.34072134819393174,0.46066818994548714
Feature 3,0.21886402050650833,0.7365972110249165,0.7501402520151078,0.5685338278488442
Feature 4,0.3844479371249794,0.5174735500719015,0.46842225344501875,0.4567812468806332
Feature 5,0.8491723210000138,0.3527831889967007,0.4511507539985764,0.5510354213317636
Feature 6,0.7497424216677344,0.7845846250252373,0.06732458342896297,0.5338838767073115
Feature 7,0.49631612915205703,0.5816861513841548,0.3340370134170413,0.4706797646510843
Feature 8,0.47747272385445605,0.8430096079770144,0.9773367449737475,0.765939692268406
Feature 9,0.2379843391072488,0.5088810601867002,0.7817339501499859,0.5095331164813116
Feature 10,0.5218499710775548,0.5700591058126155,0.9842907084558433,0.692066595115338
Feature 11,0.3190163578594021,0.5872914389083574,0.9962529409814667,0.6341869125830754
Feature 12,0.38950095542705077,0.3087972324553484,0.8673006319906447,0.5218662732910145
Feature 13,0.5134803811771617,0.6191268980949793,0.07202929118845147,0.4015455234868642
Feature 14,0.5182232407599495,0.010646112634309701,0.5675867220880757,0.3654853584941116
Feature 15,0.7503632804558836,0.023886797225550316,0.8222041598886978,0.5321514125233772
Feature 16,0.1309435629727146,0.16353007309193357,0.3504523222070959,0.21497531942391468
Feature 17,0.9664899114448767,0.10349446472723356,0.5044256067243718,0.5248033276321606
Feature 18,0.3115644552130634,0.28710284696697597,0.2571485698238868,0.28527195733464206
Feature 19,0.9412837287908308,0.08500175970461488,0.5765739351133866,0.5342864745362773
